original_title,budget,release_date,revenue,runtime,vote_average,vote_count,cast,director,Action,Adventure,Fantasy,Science_Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV,overview
The Avengers,220000000.0,2012-04-25,1519557910.0,143.0,7.4,11776,"['Robert', 'Downey', 'Jr', 'Chris', 'Evans', 'Mark', 'Ruffalo', 'Chris', 'Hemsworth', 'Scarlett', 'Johansson']",Joss Whedon,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'an', 'unexpected', 'enemy', 'emerges', 'and', 'threatens', 'global', 'safety', 'and', 'security', 'nick', 'fury', 'director', 'of', 'the', 'international', 'peacekeeping', 'agency', 'known', 'a', 's', 'h', 'i', 'e', 'l', 'd', 'find', 'himself', 'in', 'need', 'of', 'a', 'team', 'to', 'pull', 'the', 'world', 'back', 'from', 'the', 'brink', 'of', 'disaster', 'spanning', 'the', 'globe', 'a', 'daring', 'recruitment', 'effort', 'begin']"
Pirates of the Caribbean: On Stranger Tides,380000000.0,2011-05-14,1045713802.0,136.0,6.4,4948,"['Johnny', 'Depp', 'Penuelope', 'Cruz', 'Ian', 'McShane', 'Kevin', 'McNally', 'Geoffrey', 'Rush']",Rob Marshall,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['captain', 'jack', 'sparrow', 'cross', 'path', 'with', 'a', 'woman', 'from', 'his', 'past', 'and', 'he', 's', 'not', 'sure', 'if', 'it', 's', 'love', 'or', 'if', 'she', 's', 'a', 'ruthless', 'con', 'artist', 'who', 's', 'using', 'him', 'to', 'find', 'the', 'fabled', 'fountain', 'of', 'youth', 'when', 'she', 'force', 'him', 'aboard', 'the', 'queen', 'anne', 's', 'revenge', 'the', 'ship', 'of', 'the', 'formidable', 'pirate', 'blackbeard', 'jack', 'find', 'himself', 'on', 'an', 'unexpected', 'adventure', 'in', 'which', 'he', 'doesn', 't', 'know', 'who', 'to', 'fear', 'more', 'blackbeard', 'or', 'the', 'woman', 'from', 'his', 'past']"
Men in Black 3,225000000.0,2012-05-23,624026776.0,106.0,6.2,4160,"['Will', 'Smith', 'Tommy', 'Lee', 'Jones', 'Josh', 'Brolin', 'Michael', 'Stuhlbarg', 'Emma', 'Thompson']",Barry Sonnenfeld,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['agent', 'j', 'will', 'smith', 'and', 'k', 'tommy', 'lee', 'jones', 'are', 'back', 'in', 'time', 'j', 'ha', 'seen', 'some', 'inexplicable', 'thing', 'in', 'his', '15', 'year', 'with', 'the', 'men', 'in', 'black', 'but', 'nothing', 'not', 'even', 'alien', 'perplexes', 'him', 'a', 'much', 'a', 'his', 'wry', 'reticent', 'partner', 'but', 'when', 'k', 's', 'life', 'and', 'the', 'fate', 'of', 'the', 'planet', 'are', 'put', 'at', 'stake', 'agent', 'j', 'will', 'have', 'to', 'travel', 'back', 'in', 'time', 'to', 'put', 'thing', 'right', 'j', 'discovers', 'that', 'there', 'are', 'secret', 'to', 'the', 'universe', 'that', 'k', 'never', 'told', 'him', 'secret', 'that', 'will', 'reveal', 'themselves', 'a', 'he', 'team', 'up', 'with', 'the', 'young', 'agent', 'k', 'josh', 'brolin', 'to', 'save', 'his', 'partner', 'the', 'agency', 'and', 'the', 'future', 'of', 'humankind']"
The Hobbit: The Battle of the Five Armies,250000000.0,2014-12-10,956019788.0,144.0,7.1,4760,"['Martin', 'Freeman', 'Ian', 'McKellen', 'Richard', 'Armitage', 'Ken', 'Stott', 'Graham', 'McTavish']",Peter Jackson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['immediately', 'after', 'the', 'event', 'of', 'the', 'desolation', 'of', 'smaug', 'bilbo', 'and', 'the', 'dwarf', 'try', 'to', 'defend', 'erebor', 's', 'mountain', 'of', 'treasure', 'from', 'others', 'who', 'claim', 'it', 'the', 'men', 'of', 'the', 'ruined', 'laketown', 'and', 'the', 'elf', 'of', 'mirkwood', 'meanwhile', 'an', 'army', 'of', 'orcs', 'led', 'by', 'azog', 'the', 'defiler', 'is', 'marching', 'on', 'erebor', 'fueled', 'by', 'the', 'rise', 'of', 'the', 'dark', 'lord', 'sauron', 'dwarf', 'elf', 'and', 'men', 'must', 'unite', 'and', 'the', 'hope', 'for', 'middle', 'earth', 'fall', 'into', 'bilbo', 's', 'hand']"
The Amazing Spider-Man,215000000.0,2012-06-27,752215857.0,136.0,6.5,6586,"['Andrew', 'Garfield', 'Emma', 'Stone', 'Rhys', 'Ifans', 'Denis', 'Leary', 'Campbell', 'Scott']",Marc Webb,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['peter', 'parker', 'is', 'an', 'outcast', 'high', 'schooler', 'abandoned', 'by', 'his', 'parent', 'a', 'a', 'boy', 'leaving', 'him', 'to', 'be', 'raised', 'by', 'his', 'uncle', 'ben', 'and', 'aunt', 'may', 'like', 'most', 'teenager', 'peter', 'is', 'trying', 'to', 'figure', 'out', 'who', 'he', 'is', 'and', 'how', 'he', 'got', 'to', 'be', 'the', 'person', 'he', 'is', 'today', 'a', 'peter', 'discovers', 'a', 'mysterious', 'briefcase', 'that', 'belonged', 'to', 'his', 'father', 'he', 'begin', 'a', 'quest', 'to', 'understand', 'his', 'parent', 'disappearance', 'leading', 'him', 'directly', 'to', 'oscorp', 'and', 'the', 'lab', 'of', 'dr', 'curt', 'connors', 'his', 'father', 's', 'former', 'partner', 'a', 'spider', 'man', 'is', 'set', 'on', 'a', 'collision', 'course', 'with', 'connors', 'alter', 'ego', 'the', 'lizard', 'peter', 'will', 'make', 'life', 'altering', 'choice', 'to', 'use', 'his', 'power', 'and', 'shape', 'his', 'destiny', 'to', 'become', 'a', 'hero']"
Robin Hood,200000000.0,2010-05-12,310669540.0,140.0,6.2,1398,"['Russell', 'Crowe', 'Cate', 'Blanchett', 'Max', 'von', 'Sydow', 'William', 'Hurt', 'Mark', 'Strong']",Ridley Scott,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'soldier', 'robin', 'happens', 'upon', 'the', 'dying', 'robert', 'of', 'loxley', 'he', 'promise', 'to', 'return', 'the', 'man', 's', 'sword', 'to', 'his', 'family', 'in', 'nottingham', 'there', 'he', 'assumes', 'robert', 's', 'identity', 'romance', 'his', 'widow', 'marion', 'and', 'draw', 'the', 'ire', 'of', 'the', 'town', 's', 'sheriff', 'and', 'king', 'john', 's', 'henchman', 'godfrey']"
The Hobbit: The Desolation of Smaug,250000000.0,2013-12-11,958400000.0,161.0,7.6,4524,"['Martin', 'Freeman', 'Ian', 'McKellen', 'Richard', 'Armitage', 'Ken', 'Stott', 'Graham', 'McTavish']",Peter Jackson,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['the', 'dwarf', 'bilbo', 'and', 'gandalf', 'have', 'successfully', 'escaped', 'the', 'misty', 'mountain', 'and', 'bilbo', 'ha', 'gained', 'the', 'one', 'ring', 'they', 'all', 'continue', 'their', 'journey', 'to', 'get', 'their', 'gold', 'back', 'from', 'the', 'dragon', 'smaug']"
The Golden Compass,180000000.0,2007-12-04,372234864.0,113.0,5.8,1303,"['Dakota', 'Blue', 'Richards', 'Nicole', 'Kidman', 'Daniel', 'Craig', 'Sam', 'Elliott', 'Eva', 'Green']",Chris Weitz,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['after', 'overhearing', 'a', 'shocking', 'secret', 'precocious', 'orphan', 'lyra', 'belacqua', 'trade', 'her', 'carefree', 'existence', 'roaming', 'the', 'hall', 'of', 'jordan', 'college', 'for', 'an', 'otherworldly', 'adventure', 'in', 'the', 'far', 'north', 'unaware', 'that', 'it', 's', 'part', 'of', 'her', 'destiny']"
King Kong,207000000.0,2005-12-14,550000000.0,187.0,6.6,2337,"['Naomi', 'Watts', 'Jack', 'Black', 'Adrien', 'Brody', 'Thomas', 'Kretschmann', 'Colin', 'Hanks']",Peter Jackson,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', '1933', 'new', 'york', 'an', 'overly', 'ambitious', 'movie', 'producer', 'coerces', 'his', 'cast', 'and', 'hired', 'ship', 'crew', 'to', 'travel', 'to', 'mysterious', 'skull', 'island', 'where', 'they', 'encounter', 'kong', 'a', 'giant', 'ape', 'who', 'is', 'immediately', 'smitten', 'with', 'the', 'leading', 'lady']"
Titanic,200000000.0,1997-11-18,1845034188.0,194.0,7.5,7562,"['Kate', 'Winslet', 'Leonardo', 'DiCaprio', 'Frances', 'Fisher', 'Billy', 'Zane', 'Kathy', 'Bates']",James Cameron,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"['84', 'year', 'later', 'a', '101', 'year', 'old', 'woman', 'named', 'rose', 'dewitt', 'bukater', 'tell', 'the', 'story', 'to', 'her', 'granddaughter', 'lizzy', 'calvert', 'brock', 'lovett', 'lewis', 'bodine', 'bobby', 'buell', 'and', 'anatoly', 'mikailavich', 'on', 'the', 'keldysh', 'about', 'her', 'life', 'set', 'in', 'april', '10th', '1912', 'on', 'a', 'ship', 'called', 'titanic', 'when', 'young', 'rose', 'board', 'the', 'departing', 'ship', 'with', 'the', 'upper', 'class', 'passenger', 'and', 'her', 'mother', 'ruth', 'dewitt', 'bukater', 'and', 'her', 'fiancé', 'caledon', 'hockley', 'meanwhile', 'a', 'drifter', 'and', 'artist', 'named', 'jack', 'dawson', 'and', 'his', 'best', 'friend', 'fabrizio', 'de', 'rossi', 'win', 'third', 'class', 'ticket', 'to', 'the', 'ship', 'in', 'a', 'game', 'and', 'she', 'explains', 'the', 'whole', 'story', 'from', 'departure', 'until', 'the', 'death', 'of', 'titanic', 'on', 'it', 'first', 'and', 'last', 'voyage', 'april', '15th', '1912', 'at', '2', '20', 'in', 'the', 'morning']"
Captain America: Civil War,250000000.0,2016-04-27,1153304495.0,147.0,7.1,7241,"['Chris', 'Evans', 'Robert', 'Downey', 'Jr', 'Scarlett', 'Johansson', 'Sebastian', 'Stan', 'Anthony', 'Mackie']",Anthony Russo,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['following', 'the', 'event', 'of', 'age', 'of', 'ultron', 'the', 'collective', 'government', 'of', 'the', 'world', 'pas', 'an', 'act', 'designed', 'to', 'regulate', 'all', 'superhuman', 'activity', 'this', 'polarizes', 'opinion', 'amongst', 'the', 'avenger', 'causing', 'two', 'faction', 'to', 'side', 'with', 'iron', 'man', 'or', 'captain', 'america', 'which', 'cause', 'an', 'epic', 'battle', 'between', 'former', 'ally']"
Battleship,209000000.0,2012-04-11,303025485.0,131.0,5.5,2114,"['Taylor', 'Kitsch', 'Alexander', 'Skarsguerd', 'Rihanna', 'Brooklyn', 'Decker', 'Tadanobu', 'Asano']",Peter Berg,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'mankind', 'beam', 'a', 'radio', 'signal', 'into', 'space', 'a', 'reply', 'come', 'from', 'planet', 'g', 'in', 'the', 'form', 'of', 'several', 'alien', 'craft', 'that', 'splash', 'down', 'in', 'the', 'water', 'off', 'hawaii', 'lieutenant', 'alex', 'hopper', 'is', 'a', 'weapon', 'officer', 'assigned', 'to', 'the', 'us', 'john', 'paul', 'jones', 'part', 'of', 'an', 'international', 'naval', 'coalition', 'which', 'becomes', 'the', 'world', 's', 'last', 'hope', 'for', 'survival', 'a', 'they', 'engage', 'the', 'hostile', 'alien', 'force', 'of', 'unimaginable', 'strength', 'while', 'taking', 'on', 'the', 'invader', 'hopper', 'must', 'also', 'try', 'to', 'live', 'up', 'to', 'the', 'potential', 'his', 'brother', 'and', 'his', 'fiancée', 's', 'father', 'admiral', 'shane', 'expect', 'of', 'him']"
Jurassic World,150000000.0,2015-06-09,1513528810.0,124.0,6.5,8662,"['Chris', 'Pratt', 'Bryce', 'Dallas', 'Howard', 'Irrfan', 'Khan', 'Vincent', 'DOnofrio', 'Nick', 'Robinson']",Colin Trevorrow,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['twenty', 'two', 'year', 'after', 'the', 'event', 'of', 'jurassic', 'park', 'isla', 'nublar', 'now', 'feature', 'a', 'fully', 'functioning', 'dinosaur', 'theme', 'park', 'jurassic', 'world', 'a', 'originally', 'envisioned', 'by', 'john', 'hammond']"
Skyfall,200000000.0,2012-10-25,1108561013.0,143.0,6.9,7604,"['Daniel', 'Craig', 'Judi', 'Dench', 'Javier', 'Bardem', 'Ralph', 'Fiennes', 'Naomie', 'Harris']",Sam Mendes,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'bond', 's', 'latest', 'assignment', 'go', 'gravely', 'wrong', 'and', 'agent', 'around', 'the', 'world', 'are', 'exposed', 'mi6', 'is', 'attacked', 'forcing', 'm', 'to', 'relocate', 'the', 'agency', 'these', 'event', 'cause', 'her', 'authority', 'and', 'position', 'to', 'be', 'challenged', 'by', 'gareth', 'mallory', 'the', 'new', 'chairman', 'of', 'the', 'intelligence', 'and', 'security', 'committee', 'with', 'mi6', 'now', 'compromised', 'from', 'both', 'inside', 'and', 'out', 'm', 'is', 'left', 'with', 'one', 'ally', 'she', 'can', 'trust', 'bond', '007', 'take', 'to', 'the', 'shadow', 'aided', 'only', 'by', 'field', 'agent', 'eve', 'following', 'a', 'trail', 'to', 'the', 'mysterious', 'silva', 'whose', 'lethal', 'and', 'hidden', 'motif', 'have', 'yet', 'to', 'reveal', 'themselves']"
